bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,6,500000,7024520,4070990,220634,1032.0,40.0,3189.0
don-quixote,404461,7,1000,7024521,18698,1002,436.0,12.0,1114.0
don-quixote,404461,7,10000,7024521,187000,10057,440.0,4.0,673.0
don-quixote,404461,7,100000,7024521,1870348,100718,736.0,12.0,1348.0
don-quixote,404461,7,500000,7024521,6773476,365250,1504.0,56.0,3455.0
madame-bovary,112972,2,1000,1796267,16852,9966,96.0,0.0,105.0
madame-bovary,112972,2,10000,1796267,168613,123435,128.0,0.0,192.0
madame-bovary,112972,2,100000,1796267,1282492,902399,188.0,0.0,655.0
madame-bovary,112972,2,500000,1796267,225047,165014,136.0,0.0,287.0
madame-bovary,112972,3,1000,1796277,16879,1296,104.0,4.0,138.0
madame-bovary,112972,3,10000,1796277,168610,12736,148.0,0.0,333.0
madame-bovary,112972,3,100000,1796277,1686261,128905,296.0,32.0,750.0
madame-bovary,112972,3,500000,1796277,1227714,94523,248.0,0.0,606.0
madame-bovary,112972,4,1000,1796279,16859,1042,116.0,4.0,214.0
madame-bovary,112972,4,10000,1796279,168592,10286,136.0,0.0,293.0
madame-bovary,112972,4,100000,1796279,1686428,103341,304.0,4.0,568.0
madame-bovary,112972,4,500000,1796279,1969619,120771,332.0,8.0,538.0
madame-bovary,112972,5,1000,1796279,16857,1001,104.0,4.0,117.0
madame-bovary,112972,5,10000,1796279,168675,10052,128.0,0.0,359.0
madame-bovary,112972,5,100000,1796279,1686405,100484,336.0,8.0,542.0
madame-bovary,112972,5,500000,1796279,3743613,223238,600.0,4.0,3812.0
madame-bovary,112972,6,1000,1796279,16856,1000,104.0,4.0,113.0
madame-bovary,112972,6,10000,1796279,168693,10002,152.0,16.0,808.0
madame-bovary,112972,6,100000,1796279,1686181,100130,320.0,16.0,480.0
madame-bovary,112972,6,500000,1796279,617400,36819,236.0,8.0,607.0
madame-bovary,112972,7,1000,1796279,16856,1000,108.0,0.0,153.0
madame-bovary,112972,7,10000,1796279,168693,10000,128.0,8.0,1399.0
madame-bovary,112972,7,100000,1796279,1043031,61873,244.0,16.0,451.0
madame-bovary,112972,7,500000,1796279,917863,54492,268.0,0.0,536.0
zadig,26046,2,1000,349642,14752,3798,20.0,0.0,31.0
zadig,26046,2,10000,349642,147338,40014,40.0,0.0,1798.0
zadig,26046,2,100000,349642,950666,258961,128.0,0.0,401.0
zadig,26046,2,500000,349642,233089,63392,44.0,0.0,111.0
zadig,26046,3,1000,349639,14750,1144,24.0,0.0,77.0
zadig,26046,3,10000,349639,147402,11069,36.0,0.0,104.0
zadig,26046,3,100000,349639,266383,20104,52.0,4.0,153.0
zadig,26046,3,500000,349639,69023,5238,28.0,0.0,2234.0
zadig,26046,4,1000,349638,14734,1013,20.0,4.0,435.0
zadig,26046,4,10000,349638,147375,10139,32.0,4.0,79.0
zadig,26046,4,100000,349638,64268,4430,28.0,0.0,141.0
zadig,26046,4,500000,349638,191677,13213,40.0,0.0,379.0
zadig,26046,5,1000,349638,14735,1001,20.0,0.0,41.0
zadig,26046,5,10000,349638,147413,10033,36.0,0.0,65.0
zadig,26046,5,100000,349638,58897,4012,28.0,0.0,47.0
zadig,26046,5,500000,349638,104887,7163,32.0,4.0,172.0
zadig,26046,6,1000,349638,14735,1000,20.0,4.0,257.0
zadig,26046,6,10000,349638,104587,7102,32.0,0.0,57.0
zadig,26046,6,100000,349638,84253,5719,32.0,0.0,100.0
zadig,26046,6,500000,349638,91031,6180,32.0,0.0,92.0
zadig,26046,7,1000,349638,14735,1000,20.0,0.0,53.0
zadig,26046,7,10000,349638,91016,6176,32.0,0.0,109.0
zadig,26046,7,100000,349638,1323249,89836,196.0,0.0,497.0
zadig,26046,7,500000,349638,1249934,84875,208.0,8.0,585.0
don-quixote,404461,2,1000,7024485,18696,79853,404.0,0.0,1276.0
don-quixote,404461,2,10000,7024485,187175,713871,460.0,36.0,3213.0
don-quixote,404461,2,100000,7024485,205505,854183,492.0,16.0,874.0
don-quixote,404461,2,500000,7024485,459463,1783702,596.0,28.0,3153.0
don-quixote,404461,3,1000,7024519,18711,3124,424.0,16.0,917.0
don-quixote,404461,3,10000,7024519,186971,31147,468.0,8.0,2070.0
don-quixote,404461,3,100000,7024519,897261,161006,548.0,24.0,1895.0
don-quixote,404461,3,500000,7024519,9351922,1686854,1816.0,44.0,6728.0
don-quixote,404461,4,1000,7024518,18721,1380,432.0,0.0,1009.0
don-quixote,404461,4,10000,7024518,186956,12705,460.0,16.0,1517.0
don-quixote,404461,4,100000,7024518,1870289,128696,704.0,8.0,2053.0
don-quixote,404461,4,500000,7024518,8916135,615735,1676.0,48.0,4565.0
don-quixote,404461,5,1000,7024519,18692,1048,408.0,0.0,1842.0
don-quixote,404461,5,10000,7024519,186988,10469,460.0,4.0,1630.0
don-quixote,404461,5,100000,7024519,1761865,99781,684.0,12.0,1292.0
don-quixote,404461,5,500000,7024519,9352347,528095,1772.0,48.0,5605.0
don-quixote,404461,6,1000,7024520,18696,1007,432.0,8.0,1400.0
don-quixote,404461,6,10000,7024520,186996,10211,456.0,8.0,3194.0
don-quixote,404461,6,100000,7024520,1870533,101522,708.0,32.0,1125.0
don-quixote,404461,6,500000,7024520,9352201,507253,1848.0,76.0,5069.0
don-quixote,404461,7,1000,7024521,18698,1002,432.0,16.0,707.0
don-quixote,404461,7,10000,7024521,187031,10082,468.0,4.0,2716.0
don-quixote,404461,7,100000,7024521,1870382,100520,772.0,16.0,1579.0
don-quixote,404461,7,500000,7024521,6727317,361931,1588.0,44.0,3174.0
madame-bovary,112972,2,1000,1796267,16852,9966,100.0,8.0,134.0
madame-bovary,112972,2,10000,1796267,168613,123435,128.0,0.0,190.0
madame-bovary,112972,2,100000,1796267,1282492,902399,288.0,4.0,535.0
madame-bovary,112972,2,500000,1796267,225047,165014,136.0,0.0,162.0
madame-bovary,112972,3,1000,1796277,16879,1296,108.0,0.0,323.0
madame-bovary,112972,3,10000,1796277,168610,12736,144.0,12.0,341.0
madame-bovary,112972,3,100000,1796277,103738,9697,116.0,0.0,180.0
madame-bovary,112972,3,500000,1796277,2373283,182637,364.0,20.0,747.0
madame-bovary,112972,4,1000,1796279,16863,1029,116.0,8.0,273.0
madame-bovary,112972,4,10000,1796279,168592,10286,128.0,0.0,1255.0
